category,example_phrases
Emerging/Unmapped,infrastructure climate change; disaster reconstruction projects; ai crisis management; disaster impacts; disasters stakeholder
Resilience,resilience transportation relatesto; disaster resilience infrastructure; earthquake resilient lifelines; disaster resilience transportation; analyze resilience transportation
Recoverability,recovery controller; recovery paths specified; recovery mitigation remainder; recovery periods; recovery recovery progress
Adaptability,adaptation mitigating emissions; development adaptive demands; susceptibility absorption adaptation
Safety,centricagenciestobecomingmultimodalagencieswithrolesinfinancing planning safety; robustness safety privacy; comply health safety
Operational Performance,disaster resilient operations; operations operations exclude
Reliability,40 higher reliability; reliability restoration discussed
Responsiveness,increase response; response minimizing likelihood
Robustness,robustness safety privacy; robust view range
Accessibility,communities lack access
Connectivity,variations strong interconnectivity
Mobility,electric micro mobility
Sustainability,economic sustainability growth
